male,sportschuhe,jonasrbo,7,36,Nike,"450,00 €",https://www.vinted.de/damen/schuhe/turnschuhe/stoffschuhe/1251843757-nike-vaporwaffle-sacai-tour-yellow-us4-36,https://www.vinted.de/member/45816972-jonasrbo
male,sportschuhe,irem1810,1,36,Nike,"6,00 €",https://www.vinted.de/damen/schuhe/turnschuhe/laufschuhe/1251811491-nike-schuhe,https://www.vinted.de/member/58764149-irem1810
male,sportschuhe,jonathan71715,0,42,Adidas,"45,00 €",https://www.vinted.de/herren/schuhe/sportschuhe/strassen-and-wanderschuhe/1251810034-adidas-winterschuhe-grosse-42,https://www.vinted.de/member/64598409-jonathan71715
male,sportschuhe,xaurus,1,42,Nike,"65,00 €",https://www.vinted.de/herren/schuhe/sportschuhe/strassen-and-wanderschuhe/1251696949-schuhe-von-nike-42,https://www.vinted.de/member/43671223-xaurus
male,sportschuhe,e.feyzad,9,36,Nike,"170,00 €",https://www.vinted.de/damen/schuhe/turnschuhe/andere-sportschuhe/1251692484-nike-sb-dunk-classic-green,https://www.vinted.de/member/47321818-efeyzad
male,sportschuhe,delischmi95,7,42,Nike,"120,00 €",https://www.vinted.de/herren/schuhe/sportschuhe/hallenschuhe/1251549358-nike-air-jordan-1-mid-se-whitered,https://www.vinted.de/member/66161924-delischmi95
male,sportschuhe,ue20,5,42,Nike,"259,00 €",https://www.vinted.de/herren/schuhe/sportschuhe/andere-sportschuhe/1251045385-nike-sb-dunk-low-pro-parra-abstract-art-42,https://www.vinted.de/member/53138430-ue20
male,sportschuhe,hintiminti,1,37,Nike,"45,00 €",https://www.vinted.de/damen/schuhe/turnschuhe/laufschuhe/1250967720-nike-air-sneaker,https://www.vinted.de/member/46525982-hintiminti
male,sportschuhe,z4v4la,1,42,Nike,"1,00 €",https://www.vinted.de/herren/schuhe/sportschuhe/andere-sportschuhe/1250859397-supreme-x-air-more-uptempos-red-42us954243,https://www.vinted.de/member/62885477-z4v4la
male,sportschuhe,daniela971351,5,42,Nike,"120,00 €",https://www.vinted.de/herren/schuhe/sportschuhe/hallenschuhe/1250820440-nike-sb-dunk-high-hawaii,https://www.vinted.de/member/65650590-daniela971351
