vani012012,3,36,Adidas,"25,00 €",https://www.vinted.de/damen/schuhe/turnschuhe/1245974766-adidas-stan-smith-schuhe,https://www.vinted.de/member/62847347-vani012012
liliputaner,0,37,Nike,"20,00 €",https://www.vinted.de/damen/schuhe/turnschuhe/1245942977-nike-air-max,https://www.vinted.de/member/43205362-liliputaner
leonardkretzschmar,0,42,Adidas,"320,00 €",https://www.vinted.de/herren/schuhe/sportschuhe/andere-sportschuhe/1245900165-adidas-yeezy-boost-350-v2-black-red-42-neu,https://www.vinted.de/member/43505762-leonardkretzschmar
julsiem,5,42,Nike,"190,00 €",https://www.vinted.de/herren/schuhe/sportschuhe/andere-sportschuhe/1245893587-nike-dunk-high-x-ambush-flash-lime-eu-42-us-85,https://www.vinted.de/member/48086822-julsiem
ebersberg321,3,42,Nike,"40,00 €",https://www.vinted.de/herren/schuhe/sportschuhe/strassen-and-wanderschuhe/1245821725-nike-air-max,https://www.vinted.de/member/43796104-ebersberg321
nicolel93,1,42,Nike,"10,00 €",https://www.vinted.de/herren/schuhe/sportschuhe/andere-sportschuhe/1245761602-nike-court-royale,https://www.vinted.de/member/63277736-nicolel93
struppi77,1,43.5,Adidas,"50,00 €",https://www.vinted.de/herren/schuhe/sportschuhe/laufschuhe/1241910567-adidas-eqt,https://www.vinted.de/member/45024545-struppi77
miminicki,0,42,Adidas,"100,00 €",https://www.vinted.de/herren/schuhe/sportschuhe/andere-sportschuhe/1206130932-adidas-nemesis-herrenfussballschuh,https://www.vinted.de/member/43706160-miminicki
kiki_bndr,0,36,Nike,"78,00 €",https://www.vinted.de/damen/schuhe/turnschuhe/1244927831-nike-air-max,https://www.vinted.de/member/66077791-kikibndr
florian19851903,2,36,Adidas,"75,00 €",https://www.vinted.de/damen/schuhe/turnschuhe/andere-sportschuhe/1244844660-adidas-superstar-80s-italo-gr-36-23,https://www.vinted.de/member/43407375-florian19851903
maxiflorian,3,42,Nike,"160,00 €",https://www.vinted.de/herren/schuhe/sportschuhe/hallenschuhe/1244654891-nike-dunk-high-1985-x-undercover-gym-red-42-us85,https://www.vinted.de/member/43846477-maxiflorian
wiebi-rise,0,42,Nike,"60,00 €",https://www.vinted.de/herren/schuhe/sportschuhe/laufschuhe/1244514515-nike-air-maxx-90-essential-gr-42-rot-grau,https://www.vinted.de/member/61439609-wiebi-rise
andre.777,0,42,Nike,"199,00 €",https://www.vinted.de/herren/schuhe/sportschuhe/laufschuhe/1244328367-nike-dunk-low-by-you-365-black-toe,https://www.vinted.de/member/66059946-andre777
1larslars,2,42,Nike,"250,00 €",https://www.vinted.de/herren/schuhe/sportschuhe/andere-sportschuhe/1244091049-nike-dunk-low-veneer,https://www.vinted.de/member/65915952-1larslars
miri.sada,1,42,Adidas,"15,00 €",https://www.vinted.de/herren/schuhe/sportschuhe/strassen-and-wanderschuhe/1243853836-adidas-sneaker-in-gr-42-grau-rot,https://www.vinted.de/member/64711987-mirisada
alexandrarusu1,23,36,Nike,"80,00 €",https://www.vinted.de/damen/schuhe/turnschuhe/1243646532-air-jordan-lucky-green,https://www.vinted.de/member/44072307-alexandrarusu1
ayse130679,0,42,Nike,"10,00 €",https://www.vinted.de/herren/schuhe/sportschuhe/hallenschuhe/1243588183-nike-sportschuhe,https://www.vinted.de/member/45095874-ayse130679
flippi1998pw,1,43.5,Adidas,"20,00 €",https://www.vinted.de/herren/schuhe/sportschuhe/andere-sportschuhe/1243583709-adidas-stan-smith,https://www.vinted.de/member/45842668-flippi1998pw
s04ruhrpott,4,42,Nike,"245,00 €",https://www.vinted.de/herren/schuhe/sportschuhe/laufschuhe/1091905506-nike-tuned-1-rasta-2009,https://www.vinted.de/member/45927516-s04ruhrpott
janahavi,3,36,Adidas,"18,00 €",https://www.vinted.de/damen/schuhe/turnschuhe/1243454534-weisse-adidas-sneaker-mit-roten-details,https://www.vinted.de/member/43903148-janahavi
